TYP_CD_DES,Lat,Lon
ERP,1.286834229091873,103.796852962991
ERP,1.2733540989671481,103.8443572413461
ERP,1.320125004893872,103.87172082226256
ERP,1.329050072020962,103.86461434828794
ERP,1.3291172998131402,103.86461029664946
ERP,1.293927624775402,103.875363145135
ERP,1.3006755617843035,103.83487942522879
ERP,1.2893244579974934,103.8476373148808
ERP,1.2854422734940827,103.86067473874228
ERP,1.3594774554487639,103.90325806344666
ERP,1.3596107955023056,103.9033280817404
ERP,1.2859960662607628,103.8537024209857
ERP,1.2859998915225594,103.85350128552491
ERP,1.3465431363439522,103.85925495241081
ERP,1.2746922194089763,103.86573993216577
ERP,1.3088422413471723,103.7663703031811
ERP,1.32117461893156,103.8253135146674
ERP,1.3057490404742929,103.83762044429871
ERP,1.2900133876390836,103.84237508064876
ERP,1.2734113240180256,103.84187005524358
ERP,1.3042140085016087,103.86631063623501
ERP,1.3276568194946692,103.8283351901522
ERP,1.3047238062573518,103.832197980182
ERP,1.2894512026512948,103.84752490717659
ERP,1.3035732219914495,103.83258862818481
ERP,1.2885101829253551,103.84163499478012
ERP,1.3005841832482095,103.84314106500692
ERP,1.2977063888273248,103.84377265949021
ERP,1.3013303181562552,103.85490772001465
ERP,1.3003617402194876,103.85579973791839
ERP,1.2979959039362927,103.85765000918362
ERP,1.2996607453511169,103.85640441015622
ERP,1.2843284014483392,103.86160874602739
ERP,1.2745068526894632,103.86061835031312
ERP,1.3363063696369533,103.83714739329203
ERP,1.3016665520187254,103.84200179784041
ERP,1.3183907245809927,103.85163159347614
ERP,1.2886746148324075,103.84439733862024
ERP,1.3216461007958369,103.8236599299497
ERP,1.2960313929910456,103.8596395302298
ERP,1.3263921992803704,103.87057496183174
ERP,1.3262480520575657,103.87043368269639
ERP,1.330779583303182,103.81993393497119
ERP,1.2996961128753441,103.86189188385927
ERP,1.2962061351191576,103.86236571591658
ERP,1.3137244421632484,103.87059425032751
ERP,1.3327352751514099,103.86208038601241
ERP,1.3286531601707632,103.91159257810742
ERP,1.2885866706447278,103.84889346025206
ERP,1.3408542178798686,103.85328647530886
ERP,1.299559517182211,103.83977611752155
ERP,1.2992687358882467,103.84133891433184
ERP,1.287760219206894,103.84271479746116
ERP,1.310018287627001,103.87584379440811
ERP,1.3099213049652794,103.87586859809764
ERP,1.3027745086929259,103.85342729160263
ERP,1.3026939339522075,103.853360008745
ERP,1.3099748747511832,103.87099794049385
ERP,1.273019124842156,103.84302760047973
ERP,1.335193255544709,103.88826504675038
ERP,1.3446785024308618,103.898914956679
ERP,1.3423471842305768,103.89895333848966
ERP,1.3391954290709378,103.89707686942972
ERP,1.3343027568274595,103.89174984524031
ERP,1.319907127597419,103.87626049259866
ERP,1.3182890314231104,103.87483738877451
ERP,1.3170417526848883,103.87457315824186
ERP,1.3163991261495227,103.87476781148307
ERP,1.315704458002388,103.87490523689131
ERP,1.2955777591383497,103.87215427137288
ERP,1.2947642630831309,103.87433466420862
ERP,1.3331201066510339,103.86192525195509
ERP,1.333366508567458,103.86225990701969
ERP,1.3225163622939444,103.87404218573474
ERP,1.390155089896562,103.86123134752003
ERP,1.2854331669099774,103.86080799569038
ERP,1.2929586279173666,103.84404686355575
ERP,1.2929523712115634,103.84390593971588
ERP,1.2929177836210675,103.84394340609948
ERP,1.3531205140550902,103.76961703973885
ERP,1.3530278525510568,103.76963673777168
ERP,1.3409496596749524,103.85332387323626
ERP,1.2976845255116993,103.84635544017348
ERP,1.2957083815979582,103.87412111271948
ERP,1.3010340581250572,103.7766007743645
ERP,1.2746997490838057,103.850132183699
ERP,1.316431742880099,103.7587803571152
ERP,1.270536382257892,103.85659146096333
ERP,1.2954538944085823,103.87676459568529
ERP,1.298828753698927,103.84806015131375
ERP,1.3261637924288958,103.8604582237038
ERP,1.3327352751514099,103.86208038601241
ERP,1.3331201066510339,103.86192525195509
ERP,1.333366508567458,103.86225990701969
ERP,1.2979580726900963,103.84793864961293
ERP,1.2954538944085823,103.87676459568529
ERP,1.2709382898196109,103.85643049205204
ERP,1.2958261881152864,103.88013026652958
ERP,1.2750178466251474,103.86701537590756
ERP,1.3272136753756993,103.86852971928387
ERP,1.3218913272403168,103.8728660052488
ERP,1.3536245605759236,103.78782478240036
ERP,1.3465431363439522,103.85925495241081
ERP,1.315155975167265,103.76089912386793
ERP,1.3071202814614264,103.87444024978642
ERP,1.2803687327556632,103.84013513137666
